Collected Date,Channel,Keyword,Upload Date,Video URL,Caption,Views,Likes,Comments
2026-07-03,thietbithongminh8,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@thietbithongminh8/video/7657748959741349141,"Roborock Qrevo 2 pro , lực hút cao ngất , đầy đủ tính năng vừa mới ra mắt chắn chắc sẽ mang tới cho bạn trải nghiệm tốt nhất . Ghé cửa hàng để trải nghiệm ngay #gihosmarthome #RobotQuangNgai #709QuangTrung #RobotHutBuiLauNha #Roborock ",347,3,2
2026-07-03,thuyduonggiadung,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@thuyduonggiadung/video/7657920368811756818,"🏬 Gia dụng Thùy Dương 📞 098 248 93 23 📍 Số 455 Minh Khai 1- Phường Chũ, Bắc Ninh https://maps.app.goo.gl/wsKGGw4Q2i9od31t8  #GiaDungThuyDuong  #Roborock  #robothutbui #Qrevo2Pro ",147,5,0
2026-07-03,thuyduonggiadung,qrevo 2 pro,2026-06-29,https://www.tiktok.com/@thuyduonggiadung/video/7656801729932971282,#giadungthuyduong #Qrevo2Pro #roborock #robothutbui ,166,3,1
2026-07-03,thuyduonggiadung,qrevo 2 pro,2026-06-29,https://www.tiktok.com/@thuyduonggiadung/video/7656717693063597319,Siêu phẩm được chờ đợi nhất #Qrevo2Pro #giadungthuyduong #robothutbui #xuhuong #roborock ,153,9,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-03,https://www.tiktok.com/@kimanh_1202/video/7658206580529368341,🔥5 Lý do nên chọn qrevo 2 pro❤️❤️❤️❤️ #Roborock #Qrevo2Pro #robothutbui,103,2,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-03,https://www.tiktok.com/@kimanh_1202/video/7658198435249605909,🔥Robot có thực sự biết né vật cản khi nhà cửa quá nhiều đồ đạc...#Roborock #Qrevo2Pro #robothutbui #ahastore #xuhuong #trending #viralvideotiktok #trendingsound,90,4,2
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-03,https://www.tiktok.com/@kimanh_1202/video/7658193094524914965,🔥Có gì hay ở Qrevo 2 Pro sản phẩm mới ra mắt của nhà Roborock#Roborock #Qrevo2Pro #robothutbui #ahastore #xuhuong #trending #viralvideotiktok #trendingsound,90,3,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-03,https://www.tiktok.com/@kimanh_1202/video/7658192717175868693,👉Dưới 15tr cùng xem robot nào đáng giá nhất...#Roborock #Qrevo2Pro #robothutbui #ahastore #xuhuong #trending #viralvideotiktok #trendingsound,91,4,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@kimanh_1202/video/7657921658782567701,👉Hình ảnh Qrevo 2 Pro trên mạng và thực tế....🤔#Roborock #Qrevo2Pro #robothutbui #ahastore #xuhuong #trending #viralvideotiktok #trendingsound,118,3,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@kimanh_1202/video/7657920797960588564,👉Cách xử lý những vết bẩn ố bẩn lâu ngày trên sàn nhà....#Roborock #Qrevo2Pro #robothutbui #xuhuong #ahastore #trending #viralvideotiktok #trendingsound,104,2,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@kimanh_1202/video/7657920544343411989,🔥Giải pháp cho những ngôi nhà nhiều có thảm...#Roborock #robothutbui #xuhuong #Qrevo2Pro #ahastore #trending #viralvideotiktok,136,4,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@kimanh_1202/video/7657920109863816469,Qrevo 2 Pro của nhà Roborock có gì mà hot đến thế❓#Roborock #robothutbui #xuhuong #ahastore #trending #viralvideotiktok,110,8,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@kimanh_1202/video/7657792649247673608,🥱Sếp bảo sao mình làm vậy. Mà sao giờ đòi vô họp gấp nhỉ....🤔#Roborock #robothutbui #xuhuong #ahastore #Qrevo2Pro #trendingsound #viralvideotiktok,198,25,2
2026-07-03,kimanh_1202,qrevo 2 pro,2026-07-01,https://www.tiktok.com/@kimanh_1202/video/7657550329143102740,"🔥Robot đời cũ hút yếu, hút mãi không sạch....#Roborock #Qrevo2Pro #robothutbui #xuhuong #ahastore",145,3,0
2026-07-03,kimanh_1202,qrevo 2 pro,2026-06-30,https://www.tiktok.com/@kimanh_1202/video/7657187736385785096,🔥Giá tầm trung nhưng công nghệ đỉnh cao.... #Qrevo2Pro #Roborock #robothutbui #xuhuong #ahastore,149,6,2
2026-07-03,kimanh_1202,qrevo 2 pro,2026-06-29,https://www.tiktok.com/@kimanh_1202/video/7656849287812254977,🤣Nay em chạy quảng cáo sản phẩm mới bằng cơm cho các bác xem.....#Roborock #Qrevo2Pro #robothutbui #ahastore #xuhuong,268,21,8
2026-07-03,kimanh_1202,qrevo 2 pro,2026-06-20,https://www.tiktok.com/@kimanh_1202/video/7653347925560495381,🔥SIÊU PHẨM QREVO 2 PRO ĐÃ CHÍNH THỨC CẬP BẾN AHA STORE. ĐẾN ĐỂ TRẢI NGHIỆM VÀ NHẬN TƯ VẤN NGAY…..#robotrock #ahastore #xuhuong #tiktok #qrevo2pro ,177,6,2
2026-07-03,kimanh_1202,qrevo 2 pro,2026-06-13,https://www.tiktok.com/@kimanh_1202/video/7650868810039299349,💎  Roborock Qrevo 2 Pro: Công nghệ vượt tầm giá – Nhà sạch ổn định – Thao tác tối giản. ----------------------------------- 📍AHA STORE - KIẾN TẠO CHO CUỘC SỐNG THẢNH THƠI Roborock###,151,7,5
2026-07-03,tigerbot.smarthome,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@tigerbot.smarthome/video/7657919250383801621,"📍 TigerBot Smart Home  🏠 121F Nguyễn Huệ, Phường Long Châu, Vĩnh Long 📞 Hotline: 0941 861 903 #qrevo2pro #roborock #robothutbui   ",146,11,5
2026-07-03,tigerbot.smarthome,qrevo 2 pro,2026-07-01,https://www.tiktok.com/@tigerbot.smarthome/video/7657423769358585109,"🏡✨ MỘT CHIẾC ROBOT – GẦN NHƯ LO TRỌN VIỆC NHÀ! Nếu bạn đang tìm một trợ thủ có thể thay mình xử lý hầu hết công việc dọn dẹp hằng ngày, Roborock Qrevo 2 Pro chính là lựa chọn đáng cân nhắc. 🤖 Từ bụi mịn, tóc rụng, lông thú cưng đến các góc khuất hay thảm trải sàn, Qrevo 2 Pro đều được trang bị công nghệ để làm sạch hiệu quả. 💥 Lực hút HyperForce® 25.000Pa hút sạch bụi bẩn và rác vụn chỉ trong một lần di chuyển. 🧹 FlexiArm™ tự động mở rộng chổi cạnh và giẻ lau, làm sạch sát mép tường, góc nhà và những vị trí dễ bị bỏ sót. 🌀 Hệ thống chống rối toàn thân đạt chứng nhận SGS giúp giảm tối đa tóc quấn vào chổi, duy trì hiệu suất ổn định. 🏠 Tự động tháo giẻ khi làm sạch thảm, kết hợp dock đa năng tự giặt giẻ, sấy khô, thu gom bụi và tự làm sạch, mang đến trải nghiệm gần như rảnh tay hoàn toàn. ✨ Việc dọn dẹp giờ đây chỉ còn là một thao tác chạm trên điện thoại. Phần còn lại, hãy để Roborock Qrevo 2 Pro chăm sóc. 📍 TigerBot Smart Home 🏠 121F Nguyễn Huệ, Phường Long Châu, Vĩnh Long 📞 Hotline: 0941 861 903 👉 Inbox ngay để được tư vấn và nhận ưu đãi hấp dẫn! #Roborock #RoborockVietnam #Qrevo2Pro #TigerBotSmartHome #VINHLONG      ",128,2,0
2026-07-03,tigerbot.smarthome,qrevo 2 pro,2026-06-30,https://www.tiktok.com/@tigerbot.smarthome/video/7657058553684839701,"🏡✨ MỘT CHIẾC ROBOT – GẦN NHƯ LO TRỌN VIỆC NHÀ! Nếu bạn đang tìm một trợ thủ có thể thay mình xử lý hầu hết công việc dọn dẹp hằng ngày, Roborock Qrevo 2 Pro chính là lựa chọn đáng cân nhắc. 🤖 Từ bụi mịn, tóc rụng, lông thú cưng đến các góc khuất hay thảm trải sàn, Qrevo 2 Pro đều được trang bị công nghệ để làm sạch hiệu quả. 💥 Lực hút HyperForce® 25.000Pa hút sạch bụi bẩn và rác vụn chỉ trong một lần di chuyển. 🧹 FlexiArm™ tự động mở rộng chổi cạnh và giẻ lau, làm sạch sát mép tường, góc nhà và những vị trí dễ bị bỏ sót. 🌀 Hệ thống chống rối toàn thân đạt chứng nhận SGS giúp giảm tối đa tóc quấn vào chổi, duy trì hiệu suất ổn định. 🏠 Tự động tháo giẻ khi làm sạch thảm, kết hợp dock đa năng tự giặt giẻ, sấy khô, thu gom bụi và tự làm sạch, mang đến trải nghiệm gần như rảnh tay hoàn toàn. ✨ Việc dọn dẹp giờ đây chỉ còn là một thao tác chạm trên điện thoại. Phần còn lại, hãy để Roborock Qrevo 2 Pro chăm sóc. 📍 TigerBot Smart Home 🏠 121F Nguyễn Huệ, Phường Long Châu, Vĩnh Long 📞 Hotline: 0941 861 903 👉 Inbox ngay để được tư vấn và nhận ưu đãi hấp dẫn! #Roborock #RoborockVietnam #Qrevo2Pro #TigerBotSmartHome #VINHLONG      ",101,3,0
2026-07-03,minhchautestthat,qrevo 2 pro,2026-07-03,https://www.tiktok.com/@minhchautestthat/video/7658153034643426581,Test 010: Robot có xử lý được vết bẩn bám từ giày dép sau mưa không? Test này có tâm rồi chứ ae 🤭🤭 ae cần test thêm gì cmt xuống nhé  #minhchautestthat #roborock #roborockqrevo2pro #maylaunha ,143,1,1
2026-07-03,minhchautestthat,qrevo 2 pro,2026-07-02,https://www.tiktok.com/@minhchautestthat/video/7657792008018218260,"Mấy dòng này oke phết. Combo Vỏ trấu, vỏ hướng dương và tóc- Xử lý cái vèo🤭 Robot hút bụi lau nhà Roborock Qrevo 2 Pro nhé ae #minhchautestthat #roborock #qrevo2pro #minhchausmarthome #roborockqrevo2pro ",455,6,4
2026-07-03,minhchautestthat,qrevo 2 pro,2026-07-01,https://www.tiktok.com/@minhchautestthat/video/7657385151206395156,"Robot hút bụi lau nhà Roborock Qrevo 2 Pro có hút được lông chó mèo không? Mời ace kiểm chứng nhé, ace cần test gì comment xuống dưới nhé #minhchautestthat #robothutbuilaunha #roborockqrevo2pro #roborock #qrevo2pro ",245,3,0
2026-07-03,minhchautestthat,qrevo 2 pro,2026-06-28,https://www.tiktok.com/@minhchautestthat/video/7656259073104497941,"Robot hút bụi lau nhà có hút sạch tóc không, có bị mắc tóc vào chổi cuốn không?  cùng mình test thực tế nhé 😜 #minhchautestthat #robothuttoc #qrevo2pro #dondep #robothutbuibacgiang ",160,5,0
2026-07-03,minhchautestthat,qrevo 2 pro,2026-06-26,https://www.tiktok.com/@minhchautestthat/video/7655681558342389012,Bài test vui giữa 2 em Robot hút bụi lau nhà phân khúc 12-13tr của 2 thương hiệu bán chạy nhất Việt Nam  ae cần test với sp nào cmt xuống dưới nhé  #minhchautestthat #roborock #qrevo2pro #ecovacs #t30c ,177,8,2
2026-07-03,minhchautestthat,qrevo 2 pro,2026-06-26,https://www.tiktok.com/@minhchautestthat/video/7655514160461024532,Test #001 Robot hút bụi lau nhà Roborock Qrevo 2 pro vs vỏ hướng dương!  #minhchautestthat #vohuongduong #robothutbuibacgiang ,208,3,0
2026-07-03,minhchautestthat,qrevo 2 pro,2026-06-25,https://www.tiktok.com/@minhchautestthat/video/7655222664721730836,Hướng dẫn cài app Robot hút bụi lau nhà Roborock Qrevo 2 pro  #minhchau #huongdan #caiapp  #roborock #qrevo2pro ,269,6,0
2026-07-03,minhchautestthat,qrevo 2 pro,2026-06-24,https://www.tiktok.com/@minhchautestthat/video/7654819261697150229,"- Lực hút khủng: 25000pa - Pin: 5200mAh làm việc 200m2 - Robot: chổi chống mắc tóc, nâng khăn, xoè khăn - Trạm sạc: tự thu bụi, giặt nóng, sấy nóng, vệ sinh trạm được cải tiến,. - Robot nói tiếng Việt, app tiếng Việt dễ dùng - Bảo hành chính hãng 2 năm, free ship 2 chiều trong trường hợp cần bảo hành - Mức giá: tầm 13tr anh em thấy sao về em nó. #roborock #qrevo2pro #minhchau #robothutbuibacgiang",178,2,0
2026-07-03,minhchautestthat,qrevo 2 pro,2026-06-24,https://www.tiktok.com/@minhchautestthat/video/7654784589864504597,🔥 ĐẬP HỘP ROBOROCK QREVO 2 PRO Robot hút bụi lau nhà được đánh giá sẽ là một trong những sản phẩm chiến lược của Roborock thời gian tới. #Roborock #Qrevo2Pro #MinhChauSmarthome #RobotHutBui #RobotLauNha ,383,6,2
